"Date", "Main cosmonaut", "Reserve cosmonaut", "Country", "Mission", "Orbital station"
"1978-03-02", "Vladimír Remek", "Oldřich Pelčák", "Czechoslovakia", "Sojuz 28", "Salut 6"
"1978-06-27", "Mirosław Hermaszewski", "Zenon Jankowski", "Poland", "Sojuz 30", "Salut 6"
"1978-08-26", "Sigmund Jähn", "Eberhard Köllner", "GDR - East Germany", "Sojuz 31", "Salut 6"
"1979-04-10", "Georgi Iwanow", "Aleksandyr Aleksandrow", "Bulgaria", "Sojuz 33", "Salut 6"
"1980-05-26", "Bertalan Farkas", "Béla Magyari", "Hungary", "Sojuz 36", "Salut 6"
"1980-07-23", "Phạm Tuân", "Bùi Thanh Liêm", "Vietnam", "Sojuz 37", "Salut 6"
"1980-09-18", "Arnaldo Tamayo Méndez", "José Armando López Falcón", "Cuba", "Sojuz 38", "Salut 6"
"1981-03-23", "Dżügderdemidijn Gürragczaa", "Majdarżawyn Ganzorig", "Mongolia", "Sojuz 39", "Salut 6"
"1981-05-14", "Dumitru Prunariu", "Dumitru Dediu", "Romania", "Sojuz 40", "Salut 6"
"1982-06-24", "Jean-Loup Chrétien", "Patrick Baudry", "France", "Sojuz T-6", "Salut 7"
"1984-04-02", "Rakesh Sharma", "Ravish Malhotra", "India", "Sojuz T-11", "Salut 7"
"1987-07-22", "Muhammed Ahmed Faris", "Munir Habib Habib", "Syria", "Sojuz TM-3", "Mir"
"1988-07-06", "Aleksandyr Aleksandrow", "Krasimir Stojanow", "Bulgaria", "Sojuz TM-5", "Mir"
"1988-08-29", "Abdul Ahad Mohmand", "Mohammed Dauran-Ghulam Masum", "Afghanistan", "Sojuz TM-6", "Mir"
