"Name", "Production", "Years of use", "Program", "Comments"
"Berkut", "USSR", "1965", "Wostok", "Alexey Leonov - first EVA"
"Krechet-94", "USSR", "1965 - 1970", "N1/L3", "Moon"
"Gemini G4C", "USA", "1965 - 1966", "Gemini", "used both for IVA and EVA"
"Apollo Block 1 A1C", "USA", "1966 - 1967", "Apollo", "discontinued after the fire of Apollo 1"
"MH-7", "USA", "n/d", "Manned Orbital Laboratory", "never used"
"Shuguang", "China", "1967", "Project 714", "never used"
"Project 863", "China", "n/d", "n/d", "never used"
"Apollo / Skylab A7L", "USA", "1968 - 1975", "Apollo, Skylab", ""
"Yasterb", "USSR", "1969", "Soyuz 4 i 5", ""
"Orlan", "USSR", "1977 - currently in use", "Soyuz, Mir, ISS", ""
"Extravehicular Mobility Unit", "USA", "1982 - currently in use", "Space Shuttle, ISS", ""
"Haiying", "China", "2008", "Shenzhou", "Orlan M - used during Shenzhou 7 mission"
"Feitian", "China", "2008 - currently in use", "Shenzhou", "useing form Shenzhou 7 mission"
"MACES", "USA", "n/d", "Orion", "used both for IVA and EVA"
