"Name", "Purpose", "Production", "Years of use", "Program", "Comments"
"SK", "IVA", "USSR", "1961 - 1963", "Wostok", "the first space suit used by Yuri Gagarina"
"Mark IV", "IVA", "USA", "1961 - 1963", "Mercury", ""
"Gemini G3C", "IVA", "USA", "1965 - 1966", "Gemini", ""
"Gemini G4C", "IVA i EVA", "USA", "1965 - 1966", "Gemini", "used both for IVA and EVA"
"Gemini G5C", "IVA", "USA", "1965 - 1966", "Gemini", "used for 14 days during Gemini 7 mission"
"Sokol", "IVA", "USSR", "1973 - currently in use", "Soyuz", ""
"Ejection Escape Suit", "IVA", "USA", "1981 - 1982", "Space Shuttle", "used for the first flights"
"Launch Entry Suit", "IVA", "USA", "1988 - 1998", "Space Shuttle", ""
"Strizh", "IVA", "USSR", "1988", "Buran", ""
"Advanced Crew Escape Suit", "IVA", "USA", "1994 - 2014", "Space Shuttle", ""
"Shenzhou IVA", "IVA", "China", "2005", "Shenzhou", "used during Shenzhou 5 mission"
"MACES", "IVA i EVA", "USA", "n/d", "Orion", "used both for IVA and EVA"
